,Province,date,numconf,numprob,numdeaths,numtotal,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
0,ON,2020-01-31,3,0.0,0.0,3,,3,300.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
1,BC,2020-01-31,1,0.0,0.0,1,,1,100.0,0.02,0.0,0.0,0.0,100.0,1.0,0.02,,,,,,,,,,,,
2,CAN,2020-01-31,4,0.0,0.0,4,,4,400.0,0.01,0.0,0.0,0.0,100.0,4.0,0.01,,,,,,,,,,,,
3,ON,2020-02-08,3,0.0,0.0,3,,0,0.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
4,BC,2020-02-08,4,0.0,0.0,4,12.0,3,300.0,0.08,0.0,0.0,0.0,100.0,4.0,0.08,,,,,,,,,,,,
5,CAN,2020-02-08,7,0.0,0.0,7,2.0,3,75.0,0.02,0.0,0.0,0.0,100.0,7.0,0.02,,,,,,,,,,,,
6,ON,2020-02-16,3,0.0,0.0,3,,0,0.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
7,BC,2020-02-16,5,0.0,0.0,5,21.0,1,25.0,0.1,0.0,0.0,0.0,100.0,5.0,0.1,,,,,,,,,,,,
8,CAN,2020-02-16,8,0.0,0.0,8,3.0,1,14.29,0.02,0.0,0.0,0.0,100.0,8.0,0.02,,,,,,,,,,,,
9,ON,2020-02-21,3,0.0,0.0,3,,0,0.0,0.02,0.0,0.0,0.0,100.0,3.0,0.02,,,,,,,,,,,,
10,BC,2020-02-21,6,0.0,0.0,6,32.0,1,20.0,0.12,0.0,0.0,0.0,100.0,6.0,0.12,,,,,,,,,,,,
11,CAN,2020-02-21,9,0.0,0.0,9,4.0,1,12.5,0.02,0.0,0.0,0.0,100.0,9.0,0.02,,,,,,,,,,,,
12,ON,2020-02-24,4,0.0,0.0,4,,1,33.33,0.03,0.0,0.0,0.0,100.0,4.0,0.03,,,,,,,,,,,,
13,BC,2020-02-24,6,0.0,0.0,6,41.0,0,0.0,0.12,0.0,0.0,0.0,100.0,6.0,0.12,,,,,,,,,,,,
14,CAN,2020-02-24,10,0.0,0.0,10,6.0,1,11.11,0.03,0.0,0.0,0.0,100.0,10.0,0.03,,,,,,,,,,,,
15,ON,2020-02-25,4,0.0,0.0,4,,0,0.0,0.03,0.0,0.0,0.0,100.0,4.0,0.03,,,,,,,,,,,,
16,BC,2020-02-25,7,0.0,0.0,7,45.0,1,16.67,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
17,CAN,2020-02-25,11,0.0,0.0,11,6.0,1,10.0,0.03,0.0,0.0,0.0,100.0,11.0,0.03,,,,,,,,,,,,
18,ON,2020-02-26,5,0.0,0.0,5,,1,25.0,0.03,0.0,0.0,0.0,100.0,5.0,0.03,,,,,,,,,,,,
19,BC,2020-02-26,7,0.0,0.0,7,57.0,0,0.0,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
20,CAN,2020-02-26,12,0.0,0.0,12,8.0,1,9.09,0.03,0.0,0.0,0.0,100.0,12.0,0.03,,,,,,,,,,,,
21,ON,2020-02-27,6,0.0,0.0,6,,1,20.0,0.04,0.0,0.0,0.0,100.0,6.0,0.04,,,,,,,,,,,,
22,BC,2020-02-27,7,0.0,0.0,7,72.0,0,0.0,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
23,CAN,2020-02-27,13,0.0,0.0,13,10.0,1,8.33,0.03,0.0,0.0,0.0,100.0,13.0,0.03,,,,,,,,,,,,
24,ON,2020-02-29,8,0.0,0.0,8,,2,33.33,0.05,0.0,0.0,0.0,100.0,8.0,0.05,,,,,,,,,,,,
25,BC,2020-02-29,7,0.0,0.0,7,99.0,0,0.0,0.14,0.0,0.0,0.0,100.0,7.0,0.14,,,,,,,,,,,,
26,CAN,2020-02-29,15,0.0,0.0,15,13.0,2,15.38,0.04,0.0,0.0,0.0,100.0,15.0,0.04,,,,,,,,,,,,
27,ON,2020-03-01,15,0.0,0.0,15,,7,87.5,0.1,0.0,0.0,0.0,100.0,15.0,0.1,,,,,,,,,,,,
28,BC,2020-03-01,8,0.0,0.0,8,120.0,1,14.29,0.16,0.0,0.0,0.0,100.0,8.0,0.16,,,,,,,,,,,,
29,QC,2020-03-01,1,0.0,0.0,1,2.0,1,100.0,0.01,0.0,0.0,0.0,100.0,1.0,0.01,,,,,,,,,,,,
30,CAN,2020-03-01,24,0.0,0.0,24,17.0,9,60.0,0.06,0.0,0.0,0.0,100.0,24.0,0.06,,,,,,,,,,,,
31,ON,2020-03-03,20,0.0,0.0,20,,5,33.33,0.14,0.0,0.0,0.0,100.0,20.0,0.14,,,,,,,,,,,,
32,BC,2020-03-03,12,0.0,0.0,12,134.0,4,50.0,0.23,0.0,0.0,0.0,100.0,12.0,0.23,,,,,,,,,,,,
33,QC,2020-03-03,1,0.0,0.0,1,5.0,0,0.0,0.01,0.0,0.0,0.0,100.0,1.0,0.01,,,,,,,,,,,,
34,CAN,2020-03-03,33,0.0,0.0,33,19.0,9,37.5,0.09,0.0,0.0,0.0,100.0,33.0,0.09,,,,,,,,,,,,
35,ON,2020-03-05,22,0.0,0.0,22,,2,10.0,0.15,0.0,0.0,0.0,100.0,22.0,0.15,,,,,,,,,,,,
36,BC,2020-03-05,21,0.0,0.0,21,203.0,9,75.0,0.41,0.0,0.0,0.0,100.0,21.0,0.41,,,,,,,,,,,,
37,QC,2020-03-05,2,0.0,0.0,2,6.0,1,100.0,0.02,0.0,0.0,0.0,100.0,2.0,0.02,,,,,,,,,,,,
38,CAN,2020-03-05,45,0.0,0.0,45,29.0,12,36.36,0.12,0.0,0.0,0.0,100.0,45.0,0.12,,,,,,,,,,,,
39,ON,2020-03-06,28,0.0,0.0,28,,6,27.27,0.19,0.0,0.0,0.0,100.0,28.0,0.19,,,,,,,,,,,,
40,BC,2020-03-06,21,0.0,0.0,21,255.0,0,0.0,0.41,0.0,0.0,0.0,100.0,21.0,0.41,,,,,,,,,,,,
41,QC,2020-03-06,2,0.0,0.0,2,10.0,0,0.0,0.02,0.0,0.0,0.0,100.0,2.0,0.02,,,,,,,,,,,,
42,CAN,2020-03-06,51,0.0,0.0,51,37.0,6,13.33,0.13,0.0,0.0,0.0,100.0,51.0,0.13,,,,,,,,,,,,
43,ON,2020-03-07,28,0.0,0.0,28,,0,0.0,0.19,0.0,0.0,0.0,100.0,28.0,0.19,,,,,,,,,,,,
44,BC,2020-03-07,27,0.0,0.0,27,322.0,6,28.57,0.52,0.0,0.0,0.0,100.0,27.0,0.52,,,,,,,,,,,,
45,QC,2020-03-07,2,0.0,0.0,2,13.0,0,0.0,0.02,0.0,0.0,0.0,100.0,2.0,0.02,,,,,,,,,,,,
46,CAN,2020-03-07,57,0.0,0.0,57,46.0,6,11.76,0.15,0.0,0.0,0.0,100.0,57.0,0.15,,,,,,,,,,,,
47,ON,2020-03-08,31,0.0,0.0,31,,3,10.71,0.21,0.0,0.0,0.0,100.0,31.0,0.21,,,,,,,,,,,,
48,BC,2020-03-08,27,0.0,1.0,27,481.0,0,0.0,0.52,0.02,1.0,3.7,96.3,26.0,0.51,,,,,,,,,,,,
49,QC,2020-03-08,3,0.0,0.0,3,19.0,1,50.0,0.03,0.0,0.0,0.0,100.0,3.0,0.03,,,,,,,,,,,,
50,AB,2020-03-08,1,0.0,0.0,1,14.0,1,100.0,0.02,0.0,0.0,0.0,100.0,1.0,0.02,,,,,,,,,,,,
