,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
0,2020-12-19,CAN,12362,12362.0,0.0,0.07,0.07,0.0,,,,,,
1,2020-12-19,NL,972,972.0,0.0,0.19,0.19,0.0,,,,,,
2,2020-12-19,NS,1092,1092.0,0.0,0.11,0.11,0.0,,,,,,
3,2020-12-19,QC,4728,4728.0,0.0,0.06,0.06,0.0,,,,,,
4,2020-12-19,MB,894,894.0,0.0,0.06,0.06,0.0,,,,,,
5,2020-12-19,SK,1042,1042.0,0.0,0.09,0.09,0.0,,,,,,
6,2020-12-19,BC,3634,3634.0,0.0,0.07,0.07,0.0,,,,,,
7,2020-12-19,YT,0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,2020-12-19,NT,0,0.0,0.0,0.0,0.0,0.0,,,,,,
9,2020-12-19,NU,0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,2020-12-26,CAN,46156,46156.0,0.0,0.2,0.2,0.0,,,,,,
11,2020-12-26,NL,1785,1785.0,0.0,0.34,0.34,0.0,,,,,,
12,2020-12-26,PEI,1146,1146.0,0.0,0.72,0.72,0.0,,,,,,
13,2020-12-26,NS,2218,2218.0,0.0,0.23,0.23,0.0,,,,,,
14,2020-12-26,NB,2606,2606.0,0.0,0.33,0.33,0.0,,,,,,
15,2020-12-26,QC,17216,17216.0,0.0,0.2,0.2,0.0,,,,,,
16,2020-12-26,MB,2177,2177.0,0.0,0.16,0.16,0.0,,,,,,
17,2020-12-26,SK,1769,1769.0,0.0,0.15,0.15,0.0,,,,,,
18,2020-12-26,AB,4792,4792.0,0.0,0.11,0.11,0.0,,,,,,
19,2020-12-26,BC,12447,12447.0,0.0,0.24,0.24,0.0,,,,,,
20,2020-12-26,YT,0,0.0,0.0,0.0,0.0,0.0,,,,,,
21,2020-12-26,NT,0,0.0,0.0,0.0,0.0,0.0,,,,,,
22,2020-12-26,NU,0,0.0,0.0,0.0,0.0,0.0,,,,,,
23,2021-01-02,CAN,82512,82512.0,0.0,0.35,0.35,0.0,,,,,,
24,2021-01-02,NL,1785,1785.0,0.0,0.34,0.34,0.0,,,,,,
25,2021-01-02,PEI,1669,1669.0,0.0,1.05,1.05,0.0,,,,,,
26,2021-01-02,NS,2720,2720.0,0.0,0.28,0.28,0.0,,,,,,
27,2021-01-02,NB,2886,2886.0,0.0,0.37,0.37,0.0,,,,,,
28,2021-01-02,QC,28305,28305.0,,0.33,0.33,,,,,,,
29,2021-01-02,MB,3432,3432.0,0.0,0.25,0.25,0.0,,,,,,
30,2021-01-02,SK,3540,3540.0,0.0,0.3,0.3,0.0,,,,,,
31,2021-01-02,AB,13383,13383.0,0.0,0.3,0.3,0.0,,,,,,
32,2021-01-02,BC,24670,24670.0,0.0,0.48,0.48,0.0,,,,,,
33,2021-01-02,YT,0,0.0,0.0,0.0,0.0,0.0,,,,,,
34,2021-01-02,NT,122,122.0,0.0,0.27,0.27,0.0,,,,,,
35,2021-01-02,NU,0,0.0,0.0,0.0,0.0,0.0,,,,,,
36,2021-01-09,CAN,217345,212824.0,4521.0,0.93,0.91,0.02,,,,,,
37,2021-01-09,NL,2847,1994.0,853.0,0.55,0.38,0.16,,,,,,
38,2021-01-09,PEI,2475,2475.0,0.0,1.55,1.55,0.0,,,,,,
39,2021-01-09,NS,2755,1679.0,1076.0,0.28,0.17,0.11,,,,,,
40,2021-01-09,NB,6241,6241.0,0.0,0.8,0.8,0.0,,,,,,
